ID,name,popularity
204,Haunted,36
205,Never Grow Up,35
206,Treacherous,34
207,Sparks Fly - Live/2011,49
208,Mine - Live/2011,48
209,The Story Of Us - Live,48
210,Mean - Live/2011,48
211,Ours - Live/2011,47
212,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,54
213,Better Than Revenge - Live/2011,49
214,Speak Now - Live/2011,48
215,Last Kiss - Live/2011,48
216,Drops Of Jupiter - Live/2011,53
217,Bette Davis Eyes - Live/2011,50
218,I Want You Back - Live/2011,50
219,Dear John - Live/2011,48
220,Enchanted - Live/2011,49
221,Haunted - Live/2011,48
222,Long Live - Live/2011,49
223,Love Story - Live From Clear Channel Stripped 2008,42
224,Fearless - Live From Clear Channel Stripped 2008,41
225,Beautiful Eyes - Live From Clear Channel Stripped 2008,44
226,Untouchable - Live From Clear Channel Stripped 2008,38
227,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,37
228,Picture To Burn - Live From Clear Channel Stripped 2008,37
229,Should've Said No - Live From Clear Channel Stripped 2008,37
230,Change - Live From Clear Channel Stripped 2008,34
231,Tim McGraw,61
232,Picture To Burn,67
233,Teardrops On My Guitar - Radio Single Remix,69
234,A Place in this World,61
235,Cold As You,61
236,The Outside,60
237,Tied Together with a Smile,59
238,Stay Beautiful,59
239,Should've Said No,66
240,Mary's Song (Oh My My My),61
241,Our Song,70
242,I'm Only Me When I'm With You,61
243,Invisible,59
244,A Perfectly Good Heart,58
245,Teardrops on My Guitar - Pop Version,60
